["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
1.698047e+00,1501,5.91119519783508e-06,2.11673567483136e-01,2.11679478678334e-01,2.11563406614954e-01,1.16072063379852e-04,lamp_kernel
1.988690e+00,1751,2.31389672895872e-06,2.11665914103734e-01,2.11668228000463e-01,2.11575321261915e-01,9.29067385483096e-05,lamp_kernel
2.280094e+00,2001,1.40996104689401e-06,2.11660703646665e-01,2.11662113607712e-01,2.11587521873877e-01,7.45917338354496e-05,lamp_kernel
2.565795e+00,2251,9.28381711944749e-07,2.11656865271970e-01,2.11657793653682e-01,2.11595153603755e-01,6.26400499261215e-05,lamp_kernel
2.852070e+00,2501,4.58777580116808e-07,2.11653958311234e-01,2.11654417088814e-01,2.11600180944803e-01,5.42361440113437e-05,lamp_kernel
3.138372e+00,2751,3.72417775482329e-07,2.11651686483521e-01,2.11652058901297e-01,2.11604547696668e-01,4.75112046281756e-05,lamp_kernel
3.431837e+00,3001,2.08325290491660e-07,2.11649863064773e-01,2.11650071390064e-01,2.11608484406067e-01,4.15869839969774e-05,lamp_kernel
3.725029e+00,3251,1.77699807198150e-07,2.11648382981750e-01,2.11648560681557e-01,2.11611986063057e-01,3.65746184999849e-05,lamp_kernel
4.015735e+00,3501,1.34705526544998e-07,2.11647165789579e-01,2.11647300495106e-01,2.11615079867914e-01,3.22206271916592e-05,lamp_kernel
4.302822e+00,3751,1.11140589403451e-07,2.11646152301004e-01,2.11646263441594e-01,2.11617669389504e-01,2.85940520899641e-05,lamp_kernel
4.590298e+00,4001,9.28522013508115e-08,2.11645301152392e-01,2.11645394004593e-01,2.11619801593757e-01,2.55924108363836e-05,lamp_kernel
4.877565e+00,4251,7.81933122498457e-08,2.11644578810848e-01,2.11644657004161e-01,2.11621684844238e-01,2.29721599231958e-05,lamp_kernel
5.165039e+00,4501,6.86713796532660e-08,2.11643958881334e-01,2.11644027552714e-01,2.11623217902132e-01,2.08096505822097e-05,lamp_kernel
5.452612e+00,4751,5.90795291237098e-08,2.11643421803194e-01,2.11643480882723e-01,2.11624430506463e-01,1.90503762598770e-05,lamp_kernel
5.744173e+00,5001,5.25005951595366e-08,2.11642952528898e-01,2.11643005029493e-01,2.11625494834050e-01,1.75101954426604e-05,lamp_kernel
6.038015e+00,5251,4.88990973626522e-08,2.11642539465946e-01,2.11642588365044e-01,2.11626451488282e-01,1.61368767621628e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
1.019130e-04,1,1.45346534653465e+00,3.44979046533790e-01,1.79844439306844e+00,0.00000000000000e+00,1.79844439306844e+00,lamp_kernel
2.882333e-01,251,7.70655338387829e-05,2.12552851870764e-01,2.12629917404603e-01,2.10648521100469e-01,1.98139630413341e-03,lamp_kernel
5.692354e-01,501,8.02389366156817e-06,2.11702742338637e-01,2.11710766232299e-01,2.11086465178403e-01,6.24301053895410e-04,lamp_kernel
8.502680e-01,751,2.20407373581272e-06,2.11530417257357e-01,2.11532621331093e-01,2.11211651366086e-01,3.20969965006940e-04,lamp_kernel
1.131692e+00,1001,1.32581768005706e-06,2.11469661549581e-01,2.11470987367261e-01,2.11273075887335e-01,1.97911479926594e-04,lamp_kernel
1.422250e+00,1251,1.04634710478384e-06,2.11442091047625e-01,2.11443137394730e-01,2.11305312131320e-01,1.37825263409302e-04,lamp_kernel
1.713572e+00,1501,7.60805118674191e-07,2.11427675827829e-01,2.11428436632947e-01,2.11322300853489e-01,1.06135779458116e-04,lamp_kernel
